n,input_density,nnz_density,time_basic,time_blocked,time_sparse
64,1.000000,1.000000,0.106882,0.072936,0.000117
128,1.000000,1.000000,0.802439,0.595713,0.000497
256,1.000000,1.000000,6.012514,4.443482,0.004051
64,0.100000,0.101807,0.091640,0.067355,0.000023
128,0.100000,0.099976,0.750320,0.550924,0.000074
256,0.100000,0.101868,6.003241,4.501199,0.000459
64,0.010000,0.010986,0.091479,0.067933,0.000017
128,0.010000,0.008179,0.753828,0.546840,0.000038
256,0.010000,0.010559,5.931892,4.408938,0.000104
64,0.001000,0.000488,0.093657,0.069640,0.000016
128,0.001000,0.001160,0.747458,0.568858,0.000023
256,0.001000,0.000977,5.950799,4.437332,0.000042
